region,nature,type,text_annonce,prix,modified_date,lien
Cite Des Juges,Location,App. 2 pièc,Appartement s1 meuble a,1 750,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3311397
Gammart,Location,Maisons,Villa meublé avec piscin,8 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3277531
Marsa Ennassim,Location,App. 4 pièc,Appartement s3 avec jard,3 200,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3290293
Dar Allouche,Terrain,Terrain nu,Terrain  dar allouch,480 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3318983
Cite Du Stade,Location,App. 3 pièc,Apprt s2 la marsa stade,1 450,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3151978
Cite Du Stade,Location,App. 3 pièc,Appartement s3 haut stan,1 700,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3164113
Carthage,Location,Maisons,Villa carthage c,9 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3151021
Cite Ennasr 2,Location,App. 2 pièc,Un appartement s 1 cité,800,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390081
Gammart,Location,Maisons,Villa gammarth me,7 500,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3147946
Carthage,Location,Maisons,Villa carthage by,6 800,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3142522
Marsa Ennassim,Location,App. 4 pièc,Appart proche du lycée f,3 200,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387777
El Aouina,Location,App. 1 pièc,Loc s1 meublé,1 500,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390689
Berge Du Lac,Location,App. 2 pièc,Bel appartement aux berg,1 100,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383408
Sakiet Ezzit,Vente,Maisons,Villa ben hamédou,300 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3323337
Kairouan Sud,Terrain,Terrain nu,Terrain de 5560 m à kair,250 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3320862
Le Bardo,Vente,Maisons,Maison à bardo,360 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3320865
Merkez Chihya,Terrain,Terrain nu,Terrain bonne occasion,222 334,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3305359
El Mourouj,Location,App. 2 pièc,Apprt haut standing mrj4,750,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390551
El Mourouj,Vente,Maisons,Maison trois niveaux,225 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3354471
El Mourouj,Vente,Maisons,Maison r 2 mrj 3,360 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3340637
La Soukra,Location,App. 2 pièc,S1 meublé a tunis,550,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2964641
La Soukra,Location,Maisons,S2 meublé a soukra 90 d,600,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2955019
La Soukra,Location,App. 1 pièc,S1 meublé la soukra,600,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2955015
El Aouina,Location,App. 2 pièc,S2 à laouina coté café d,980,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390688
Cite Ennasr 2,Location,App. 2 pièc,Un joli rdj s1 à ennasr,1 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390687
El Aouina,Location,App. 3 pièc,S2 à laouina coté downto,980,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390686
Cite Du Stade,Location,App. 4 pièc,Agréable appartement s3 côté,2 300,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3375112
El Aouina,Location,App. 2 pièc,Suite à wahat appartement neu,950,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388401
El Aouina,Location,App. 3 pièc,S2 neuf jamais habité aux jar,1 500,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383552
Zone Industriel,Bureaux & Commer,Atelier,Usine industrielle aux zone i,20 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3347983
El Mourouj,Location,App. 3 pièc,Mourouj 4 maison indépendante,500,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386751
Cite Du Stade,Location,App. 4 pièc,Bel appartement s3 côté café,2 300,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3375091
Ariana,Bureaux & Commer,Atelier,Batiment sur la route princip,10 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367829
